,const,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,StraightED ,NonStraightED
102,1.0,-0.900978939,0.209987264,0.56851034,1.823783833,0.182691214,0.2333079,7.575391138,0.093225,0.039035
103,1.0,0.854435361,0.259234712,0.620283573,1.600190983,0.219016839,0.225399601,7.510711172,0.071813,0.05266
104,1.0,2.217699405,0.273690304,0.598407744,2.235452084,0.21533866,0.254892047,7.568439769,0.064431,0.062157
105,1.0,0.838930593,0.283435718,0.609208231,1.085065045,0.212643104,0.247703615,7.823864987,0.083835,0.051758
106,1.0,-2.21198998,0.251729279,0.56860986,2.416319407,0.22883534,0.224522282,7.508186675,0.08871,0.039114
107,1.0,-0.683908484,0.246245003,0.672336563,2.033298736,0.244098628,0.193669217,7.565426912,0.092258,0.034656
108,1.0,0.91558919,0.1351084,0.496613524,1.380835045,0.127648931,0.210673183,7.428084233,0.072315,0.057974
109,1.0,0.751222576,0.255344193,0.420363358,1.192842796,0.202480814,0.165610306,7.313666194,0.12185,0.034747
110,1.0,-1.67426402,0.186407856,0.662536612,2.16469999,0.16532272,0.22510694,7.535483474,0.059492,0.043198
111,1.0,0.103129591,0.198852056,0.470084852,1.302975529,0.189032353,0.234482277,7.355362657,0.075583,0.042392
112,1.0,1.795206691,0.1997342,0.420425781,1.757717651,0.132023111,0.192750928,7.211894698,0.073994,0.04439
113,1.0,1.438307033,0.289056331,0.298841312,1.132667376,0.191125967,0.145288158,6.739137993,0.057885,0.070473
114,1.0,1.076328212,0.328397662,0.484652561,0.791098071,0.241134099,0.228176983,7.452418258,0.057144,0.069716
115,1.0,1.581376119,0.271803713,0.449138953,1.184938319,0.191581702,0.200318795,7.098694878,0.061954,0.067622
116,1.0,1.481651289,0.308940584,0.416723269,0.756997489,0.214560049,0.175013137,7.229329303,0.061692,0.087087
117,1.0,1.442021929,0.301944098,0.395259332,0.930993595,0.199429368,0.14704812,7.052799713,0.058348,0.093208
118,1.0,1.315398477,0.268252068,0.35629999,0.80473198,0.171358531,0.176445667,7.094020807,0.047852,0.080482
119,1.0,1.41311536,0.291277852,0.468867022,1.097908438,0.152631768,0.199481778,7.431612318,0.07405,0.061562
120,1.0,1.635229629,0.296488143,0.349791833,1.154528815,0.202151559,0.190733679,7.04677057,0.0478,0.081715
121,1.0,2.712835336,0.221216256,0.463568232,1.722231022,0.129814676,0.21420202,7.349842129,0.082515,0.033899
122,1.0,0.336986224,0.26109768,0.656186466,1.648515913,0.226879996,0.240326623,7.533040002,0.076723,0.037409
123,1.0,2.979150589,0.277377878,0.455146114,1.305836528,0.168221254,0.231242571,7.410253645,0.07101,0.062495
124,1.0,0.366766367,0.131641166,0.538961984,1.24952982,0.121309402,0.246489477,7.39460171,0.05265,0.056745
