,Const,Road,Sidewalk,Building,Wall,Fence,Pole,Traffic light,Traffic sign,Vegetation,Terrain,Sky,Person,Rider,Car,Truck,Bus,Train,Motorcycle,Bicycle,Others
10,1.0,0.8972809432450966,0.276964785897408,-1.384201419228966,3.9110964126200227,-0.7422232138118133,0.07896119093079193,-0.41180569545299933,-0.4424321814490564,0.2425932450303272,-0.09635301975449632,1.0257631596701022,-0.24919737877962755,-0.14661943201998806,-0.5783450098639976,0.060677565724189114,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.43906093401063234
11,1.0,-1.5182324663575946,-0.873966675887475,0.37353790237070106,-0.25666767085165565,0.08120299793105534,0.4228648760287126,-0.41180569545299933,-0.04735416183230187,-0.9319154653720246,-0.5901558723744681,0.8264522630299477,-0.31663629526230497,-0.14661943201998806,3.0710922821748508,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.1119241989065722
12,1.0,0.9898755758404266,-1.162897126549993,-1.3614992980508418,-0.25666767085165565,0.8254235988969144,-0.6318278097727862,-0.41180569545299933,-0.1197457031512982,1.3122101214678434,0.850518900430675,-0.059551242474749966,-0.10461610459373787,0.14140165863839374,-0.7620061215290868,-0.20498249914172126,-0.06011092830616428,-0.0426014322842305,-0.08927966100553981,-0.22608104786878777,-0.4493975461267699
13,1.0,-0.8286795446922424,-0.5507748742543422,0.023014786576169163,-0.008307611979268192,-0.29118042534765787,-0.41131359323425987,-0.4096332532947653,-0.2862935629178877,0.7849082341447261,0.38886933647662164,-0.7850638495965757,-0.31663629526230497,-0.14661943201998806,1.3446364674077733,-0.18658711092250083,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,0.4717441995092162,0.16580125849947883
14,1.0,1.5980618300225373,-1.1768515977659888,-0.8467996444655499,-0.25666767085165565,-0.8303248242228917,-0.074249679120782,0.14325327597579357,-0.41688222568941063,-0.012318563195033211,-0.38082947695412533,0.8506368476860582,-0.31663629526230497,-0.14661943201998806,0.03931889089796378,-0.1501029242877104,0.28908024112822145,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.26856362866646877
15,1.0,0.045976051173188676,-0.40149327359666614,-0.8423459297205361,-0.24375414904813641,-0.7773390018410298,-0.45590890005284185,-0.2075961325790193,-0.33550088512164034,-0.4263559251697153,1.4958005162230703,1.3890056481802873,-0.31663629526230497,-0.14661943201998806,-0.4533809967243053,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,0.8713034327117407
16,1.0,1.630533451490663,-0.729527485017439,-0.5761872069499199,-0.23474471523172555,-0.5580604143697023,-0.20858278125529486,-0.41180569545299933,-0.38896653328534836,-0.5672481112109841,-0.22374038921975947,1.2694041506592935,-0.31663629526230497,-0.14661943201998806,-0.7973319299439489,-0.19563151013028104,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.2338053505616624
17,1.0,-0.7596953888621806,1.8771469105614065,-1.0384079120132101,-0.25666767085165565,-0.02734380462147871,1.901349772026461,-0.37487417876303125,-0.04073009922795894,-0.26969554050150674,0.9258103989636236,1.1989945969800595,-0.31663629526230497,-0.14661943201998806,-0.48457029361517806,-0.21264724423305997,-0.114061388790548,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.39907755527569283
18,1.0,1.3590418323536062,-0.8474635943615739,-1.1697333768838885,-0.1990072944266259,-0.7411307226286837,0.40699660734480175,-0.2868902713545516,-0.09183001074725042,-0.38340424045915167,-0.2306236445646631,1.8566158391342664,-0.13518194443840686,-0.14661943201998806,-0.7287485688762193,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,0.6089125097636926
19,1.0,-1.0845559218610723,0.3354381858062229,-1.2843475581095591,-0.25666767085165565,-0.80597787785597,1.2767418857268964,-0.3987710425035949,0.437621850272076,0.5191585654546531,3.534752757020139,0.6721446398993591,-0.31178457465204007,-0.14661943201998806,-0.6435364314820559,-0.21172747482209897,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.5401552722893188
20,1.0,1.598235012003701,-1.1356650801098243,-0.8910806047843397,-0.25666767085165565,-0.8313392803215136,-0.6255352204670934,-0.360753304734521,-0.16185581542183033,-0.5706460469714371,-0.29606171592579633,1.700612801821601,-0.23755324931499172,-0.14661943201998806,-0.23211899530616073,-0.19394526621018898,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.23107921110246196
21,1.0,-0.6946078276082931,-0.2829323371831582,0.17193833670037642,-0.25666767085165565,-0.5763986592294034,0.2630878258320707,-0.35423597825981884,0.12629090786750818,-1.0262359436376718,2.4345162502803777,1.2833414525384341,-0.31372526289614605,-0.14661943201998806,-0.813836610924663,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.028459561831066293,-0.7538164524041581
22,1.0,1.0871461219271679,-1.1508171365421171,-1.07778190343152,-0.25666767085165565,-0.600121324920251,-0.45207862830155804,-0.41180569545299933,-0.5772791701805203,0.3317168803682227,-0.4279750615082561,0.9778427764649016,-0.31663629526230497,-0.14661943201998806,-0.25338066453946123,1.0066604048976013,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,0.7686188464151896
23,1.0,-0.9591433038352896,1.328288399039762,-0.05884685524147807,2.485503668403267,-0.47206575124037525,-0.018163557048331655,-0.41180569545299933,0.34677756312666874,0.1602210637524158,0.8940814205586922,0.23667252072035638,-0.16720330046615534,-0.14661943201998806,-0.8080041296758392,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.6253471303893344
24,1.0,-0.21786669712915452,-0.7430133359314035,-1.1582049559731222,-0.2092179860852311,-0.20534183238735038,-0.7935199958450782,-0.39008127387065866,-0.28865929956228975,-0.2800448088960897,0.06766646890932539,1.6785474848930868,-0.31663629526230497,-0.14661943201998806,1.6647197291340023,-0.20513579404354654,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.6708963771868106
25,1.0,-1.1228868670252243,0.09201597336302933,1.4934698004200204,-0.25666767085165565,-0.7113213203461028,-1.0608182459172033,-0.41180569545299933,-0.32414534922846444,-0.8103226661009104,2.415846598796942,-0.44982062765217673,-0.31663629526230497,-0.14661943201998806,-0.7621302168748064,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,0.0819724701290635
